ite,policy_name,devices,category,num_of_completed_tasks(ALL),num_of_failed_tasks(ALL),num_of_uncompleted_tasks(ALL),num_of_failed_tasks_due_network,average_service_time(ALL),average_processing_time(ALL),average_network_delay(ALL),average_cost,unknown1,num_of_failed_tasks_due_vm_capacity(ALL),num_of_failed_tasks_due_mobility,unknown2,unknown3,unknown4,num_of_completed_tasks(Edge),num_of_failed_tasks(Edge),num_of_uncompleted_tasks(Edge),unknown5,average_service_time(Edge),average_processing_time(Edge),unknown6,average_server_utilization(Edge),num_of_failed_tasks_due_vm_capacity(Edge),unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,num_of_completed_tasks(Mobile),num_of_failed_tasks(Mobile),num_of_uncompleted_tasks(Mobile),unknown16,average_service_time(Mobile),average_processing_time(Mobile),unknown17,average_server_utilization(Mobile),num_of_failed_tasks_due_vm_capacity(Mobile),average_network_delay(LAN_delay),unknown18,unknown19,unknown20,num_of_failed_tasks_due_network(WLAN),num_of_failed_tasks_due_network(MAN),num_of_failed_tasks_due_network(WAN),num_of_failed_tasks_due_network(GSM),unknown21,average_overhead(ns)
ite1,MOBILE_UTIL_HEURISTIC,200,ALL_APPS_GENERIC,60083,193,245,0,7.496581311172932,6.93006847327499,2.584298142845853,0.0,0.0,0,193,0.0,0.0,0,13171,193,29,0,4.9689068027655905,2.3846086599197314,0.0,2.6777173913043466,0,0,0,0,0,0.0,0.0,0.0,0.0,0,46912,0,216,0,8.206250499232128,8.206250499232128,0.0,29.214030100334437,0,2.584298142845853,0.0,0.0,0.0,0,0,0,0,163,321.10881611254894
ite1,MOBILE_UTIL_HEURISTIC,400,ALL_APPS_GENERIC,122960,877,643,318,7.9576547517283105,6.49764699012455,8.00939387734476,0.0,0.0,0,559,0.0,0.0,0,22414,877,146,0,10.962037153277247,2.952643275932538,0.0,5.834071906354515,0,0,0,0,0,0.0,0.0,0.0,0.0,0,100546,0,497,0,7.287909290463656,7.287909290463656,0.0,27.210167224080276,0,8.00939387734476,0.0,0.0,0.0,318,0,0,0,795,507.45840096255563
ite1,MOBILE_UTIL_HEURISTIC,600,ALL_APPS_GENERIC,181230,6758,1196,5054,9.596473994946129,6.7415683498446795,17.763399940321122,0.0,0.0,1,1703,0.0,0.0,0,29127,6758,414,0,21.591024980224546,3.8276250399035265,0.0,11.431688963210702,1,0,0,0,0,0.0,0.0,0.0,0.0,0,152103,0,782,0,7.299574613946329,7.299574613946329,0.0,27.60178372352285,0,17.763399940321122,0.0,0.0,0.0,5054,0,0,0,2875,606.3956156775964
ite1,MOBILE_UTIL_HEURISTIC,800,ALL_APPS_GENERIC,220478,17434,1659,14119,10.987197103319486,7.371504282134305,26.25500516514421,0.0,0.0,406,2909,0.0,0.0,0,30363,17434,591,0,31.61616130450838,5.361156139364228,0.0,20.544147157190633,406,0,0,0,0,0.0,0.0,0.0,0.0,0,190115,0,1068,0,7.692574164357863,7.692574164357863,0.0,27.88484113712375,0,26.25500516514421,0.0,0.0,0.0,14119,0,0,0,4806,728.535105417129
ite1,MOBILE_UTIL_HEURISTIC,1000,ALL_APPS_GENERIC,271948,31737,2188,25330,11.764958658830775,7.9470092427060575,33.07267974186983,0.0,0.0,1930,4477,0.0,0.0,0,31394,31737,808,0,40.8557103815101,7.783030639640273,0.0,36.972575250836115,1930,0,0,0,0,0.0,0.0,0.0,0.0,0,240554,0,1380,0,7.9684096112912615,7.9684096112912615,0.0,29.371501672240814,0,33.07267974186983,0.0,0.0,0.0,25330,0,0,0,8865,759.61848955332
ite1,MOBILE_UTIL_HEURISTIC,1200,ALL_APPS_GENERIC,324084,43983,2385,30831,11.641359589160066,8.217329183540505,33.11173186449462,0.0,0.0,7898,5254,0.0,0.0,0,33513,43983,891,0,44.25275063966502,11.141018775170352,0.0,54.62132107023414,7898,0,0,0,0,0.0,0.0,0.0,0.0,0,290571,0,1494,0,7.880125507728797,7.880125507728797,0.0,29.125144927536212,0,33.11173186449462,0.0,0.0,0.0,30831,0,0,0,11970,735.1230428155743
ite1,MOBILE_UTIL_HEURISTIC,1400,ALL_APPS_GENERIC,382280,58529,3030,37776,11.475258105672639,8.263033328340537,36.75344311389969,0.0,0.0,14125,6628,0.0,0.0,0,33411,58529,1080,0,50.03578444906146,13.282341335162076,0.0,69.33164715719067,14125,0,0,0,0,0.0,0.0,0.0,0.0,0,348869,0,1950,0,7.782336849673943,7.782336849673943,0.0,29.6481581462016,0,36.75344311389969,0.0,0.0,0.0,37776,0,0,0,17584,738.4844206901402
ite1,MOBILE_UTIL_HEURISTIC,1600,ALL_APPS_GENERIC,415028,70543,3384,40772,11.569595066461838,8.476353526043022,40.51062953729679,0.0,0.0,22282,7489,0.0,0.0,0,31690,70543,1278,0,55.88493829131905,15.374308754022364,0.0,79.46467391304348,22282,0,0,0,0,0.0,0.0,0.0,0.0,0,383338,0,2106,0,7.906109508557981,7.906109508557981,0.0,29.03804974916388,0,40.51062953729679,0.0,0.0,0.0,40772,0,0,0,21562,907.2908946374474
ite1,MOBILE_UTIL_HEURISTIC,1800,ALL_APPS_GENERIC,468980,90204,3679,48958,11.336058622827384,8.724887796587643,37.626340997048075,0.0,0.0,34071,7175,0.0,0.0,0,32546,90204,1245,0,54.792204735255844,17.165863738207676,0.0,89.88754180602011,34071,0,0,0,0,0.0,0.0,0.0,0.0,0,436434,0,2434,0,8.095422624314205,8.095422624314205,0.0,30.23736157562246,0,37.626340997048075,0.0,0.0,0.0,48958,0,0,0,29648,942.6659686257118
ite1,MOBILE_UTIL_HEURISTIC,2000,ALL_APPS_GENERIC,507188,105208,4020,56162,11.319163051805113,8.82209437656232,40.33514657342746,0.0,0.0,41475,7571,0.0,0.0,0,31399,105208,1311,0,58.22835527442637,17.893208700998997,0.0,94.10581103678932,41475,0,0,0,0,0.0,0.0,0.0,0.0,0,475789,0,2709,0,8.22345943823251,8.22345943823251,0.0,30.213399665551822,0,40.33514657342746,0.0,0.0,0.0,56162,0,0,0,33873,1103.4686477377384
ite1,RANDOM,200,ALL_APPS_GENERIC,57581,2983,202,0,6.035490598446876,5.377308890570116,1.2599322114777554,0.0,0.0,2764,219,0.0,0.0,0,30080,219,37,0,2.56448626677653,1.3045540552987762,0.0,2.940133779264214,0,0,0,0,0,0.0,0.0,0.0,0.0,0,27501,2764,165,0,9.832000190703296,9.832000190703296,0.0,21.41349498327759,2764,1.2599322114777554,0.0,0.0,0.0,0,0,0,0,146,83.6487517337032
ite1,RANDOM,400,ALL_APPS_GENERIC,113445,12768,595,5880,8.773325762658748,5.468303948570805,6.713066670830139,0.0,0.0,5722,1166,0.0,0.0,0,55852,7046,246,0,8.207483735898577,1.494417065068442,0.0,7.003595317725752,0,0,0,0,0,0.0,0.0,0.0,0.0,0,57593,5722,349,0,9.322062742475872,9.322062742475872,0.0,21.434172240802685,5722,6.713066670830139,0.0,0.0,0.0,5880,0,0,0,1110,177.632018888704
ite1,RANDOM,600,ALL_APPS_GENERIC,150187,33207,1192,22236,11.461591151708038,5.978567785303847,12.428368352955893,0.0,0.0,8208,2763,0.0,0.0,0,66258,24999,608,0,14.276468719575984,1.8481003666201192,0.0,12.11166387959867,0,0,0,0,0,0.0,0.0,0.0,0.0,0,83929,8208,584,0,9.239377639194004,9.239377639194004,0.0,20.719052396878475,8208,12.428368352955893,0.0,0.0,0.0,22236,0,0,0,1960,145.0124540606563
ite1,RANDOM,800,ALL_APPS_GENERIC,181365,61631,1344,47404,11.445086865123205,6.425566777665509,13.085600986945021,0.0,0.0,10986,3241,0.0,0.0,0,69570,51377,653,0,15.48061996775093,2.3950189808058835,0.0,19.924958193979926,732,0,0,0,0,0.0,0.0,0.0,0.0,0,111795,10254,691,0,8.933775644140074,8.933775644140074,0.0,19.84234113712375,10254,13.085600986945021,0.0,0.0,0.0,47404,0,0,0,3578,162.87665229057268
ite1,RANDOM,1000,ALL_APPS_GENERIC,207345,97070,1811,72895,13.240480961888386,7.863397371981982,15.984621958008713,0.0,0.0,19093,5082,0.0,0.0,0,69749,82703,841,0,20.173060428725137,4.188438470716368,0.0,41.25551839464884,4726,0,0,0,0,0.0,0.0,0.0,0.0,0,137596,14367,970,0,9.726276441172779,9.726276441172779,0.0,21.546809364548505,14367,15.984621958008713,0.0,0.0,0.0,72895,0,0,0,5612,159.57176880245717
ite1,RANDOM,1200,ALL_APPS_GENERIC,250850,128650,2176,96275,12.487114249055784,7.541522598122677,15.978486716423767,0.0,0.0,26153,6222,0.0,0.0,0,77642,113218,970,0,20.759355727771446,4.780869011347695,0.0,52.93273411371236,10721,0,0,0,0,0.0,0.0,0.0,0.0,0,173208,15432,1206,0,8.779009699090231,8.779009699090231,0.0,20.147633779264225,15432,15.978486716423767,0.0,0.0,0.0,96275,0,0,0,8992,181.24302503293808
ite1,RANDOM,1400,ALL_APPS_GENERIC,264770,160154,2695,104908,13.731275989078851,8.77788915996513,17.78895139766723,0.0,0.0,48439,6807,0.0,0.0,0,73726,141020,1297,0,24.454716623351054,6.665765225683814,0.0,68.57324414715724,29305,0,0,0,0,0.0,0.0,0.0,0.0,0,191044,19134,1398,0,9.592981228697154,9.592981228697154,0.0,20.97251313903489,19134,17.78895139766723,0.0,0.0,0.0,104908,0,0,0,11199,188.29240523011174
ite1,RANDOM,1600,ALL_APPS_GENERIC,296199,195555,2769,124061,13.159018832444263,8.741101687959286,17.310668046132164,0.0,0.0,64336,7158,0.0,0.0,0,75594,173931,1207,0,24.187645938459738,6.87697789232764,0.0,74.11015886287623,42712,0,0,0,0,0.0,0.0,0.0,0.0,0,220605,21624,1562,0,9.379874944263364,9.379874944263364,0.0,20.725369983277606,21624,17.310668046132164,0.0,0.0,0.0,124061,0,0,0,12719,150.97122545012343
ite1,RANDOM,1800,ALL_APPS_GENERIC,324214,231246,2965,143854,12.784708374979889,8.766047322673389,17.297357740062985,0.0,0.0,80093,7299,0.0,0.0,0,75324,207218,1323,0,24.355838893354264,7.0584811532913045,0.0,77.82253344481606,56065,0,0,0,0,0.0,0.0,0.0,0.0,0,248890,24028,1642,0,9.282824670668646,9.282824670668646,0.0,20.586662950575995,24028,17.297357740062985,0.0,0.0,0.0,143854,0,0,0,16672,167.26071364274657
ite1,RANDOM,2000,ALL_APPS_GENERIC,353194,266379,3245,156817,12.713638992424523,9.06903554002122,16.861208107619962,0.0,0.0,101834,7728,0.0,0.0,0,76344,239500,1370,0,25.06503432685116,8.20382621923125,0.0,89.40589464882946,74955,0,0,0,0,0.0,0.0,0.0,0.0,0,276850,26879,1875,0,9.307625174792296,9.307625174792296,0.0,20.62411371237457,26879,16.861208107619962,0.0,0.0,0.0,156817,0,0,0,19028,157.50498165672164
ite2,EDGE_UTIL_HEURISTIC,200,ALL_APPS_GENERIC,58103,4165,295,3260,5.846438352592761,1.3826972866549836,4.463741065937773,0.0,0.0,0,905,0.0,0.0,0,58103,4165,259,0,5.846438352592761,1.3826972866549836,0.0,6.480727424749168,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,36,0,0.0,0.0,0.0,0.0,0,4.463741065937773,0.0,0.0,0.0,3260,0,0,0,79,377.8907946296653
ite2,EDGE_UTIL_HEURISTIC,400,ALL_APPS_GENERIC,66972,49351,766,45582,17.707117263260077,3.2971943297338533,14.730162993835313,0.0,0.0,39,3730,0.0,0.0,0,65516,49312,627,0,17.893072376614,3.1629093827786305,0.0,26.13110367892976,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1456,39,139,0,9.339648028029542,9.339648028029542,0.0,0.7434197324414715,39,14.730162993835313,0.0,0.0,0.0,45582,0,0,0,214,545.6020133593528
ite2,EDGE_UTIL_HEURISTIC,600,ALL_APPS_GENERIC,90874,90390,1176,84397,18.214021440380414,4.960465857756644,15.498695277510627,0.0,0.0,487,5506,0.0,0.0,0,77710,89903,900,0,19.81938193324556,4.3206866557349,0.0,45.16914715719063,0,0,0,0,0,0.0,0.0,0.0,0.0,0,13164,487,276,0,8.737223818035442,8.737223818035442,0.0,3.551610925306578,487,15.498695277510627,0.0,0.0,0.0,84397,0,0,0,776,951.9618070880042
ite2,EDGE_UTIL_HEURISTIC,800,ALL_APPS_GENERIC,119828,134667,1643,125547,17.541357161893085,6.681762057390749,16.942031587625063,0.0,0.0,1908,7212,0.0,0.0,0,76808,132759,1216,0,22.770359514116222,5.82832792649119,0.0,62.75928093645488,0,0,0,0,0,0.0,0.0,0.0,0.0,0,43020,1908,427,0,8.205485179802093,8.205485179802093,0.0,7.390225752508362,1908,16.942031587625063,0.0,0.0,0.0,125547,0,0,0,1773,1579.8234228570307
ite2,EDGE_UTIL_HEURISTIC,1000,ALL_APPS_GENERIC,152301,152229,1949,139204,16.92628507372135,8.497414418080051,17.441921599522132,0.0,0.0,5620,7405,0.0,0.0,0,73600,146609,1330,0,24.987334618763143,7.545413019241012,0.0,75.30823578595316,0,0,0,0,0,0.0,0.0,0.0,0.0,0,78701,5620,619,0,9.387711910545875,9.387711910545875,0.0,12.263933110367885,5620,17.441921599522132,0.0,0.0,0.0,139204,0,0,0,2497,1875.7867566413818
ite2,EDGE_UTIL_HEURISTIC,1200,ALL_APPS_GENERIC,163739,208454,2075,194758,15.99847491566144,8.319414302282695,18.469427800082507,0.0,0.0,6509,7187,0.0,0.0,0,68078,201945,1353,0,26.083433209120198,7.614005409037737,0.0,78.71680602006695,0,0,0,0,0,0.0,0.0,0.0,0.0,0,95661,6509,722,0,8.821424804308906,8.821424804308906,0.0,11.841245819397995,6509,18.469427800082507,0.0,0.0,0.0,194758,0,0,0,3478,1748.0496059839923
ite2,EDGE_UTIL_HEURISTIC,1400,ALL_APPS_GENERIC,230024,215847,2257,193847,14.364323042041917,8.917775275630806,16.842145851035294,0.0,0.0,14361,7639,0.0,0.0,0,74387,201486,1398,0,24.97265477704251,8.130508926007291,0.0,84.26810200668898,0,0,0,0,0,0.0,0.0,0.0,0.0,0,155637,14361,859,0,9.294050723946045,9.294050723946045,0.0,17.03404682274247,14361,16.842145851035294,0.0,0.0,0.0,193847,0,0,0,7890,2844.2665569189294
ite2,EDGE_UTIL_HEURISTIC,1600,ALL_APPS_GENERIC,250518,250544,2658,226133,14.188780848163876,9.192781015246167,17.816958534070757,0.0,0.0,17158,7253,0.0,0.0,0,70247,233386,1412,0,26.412588308564175,8.595629774493366,0.0,85.90622909698993,0,0,0,0,0,0.0,0.0,0.0,0.0,0,180271,17158,1246,0,9.425475587357905,9.425475587357905,0.0,17.56626254180602,17158,17.816958534070757,0.0,0.0,0.0,226133,0,0,0,10314,3039.214897557588
ite2,EDGE_UTIL_HEURISTIC,1800,ALL_APPS_GENERIC,281808,283220,2807,255944,13.387922973421619,8.980057541790593,17.83243477500222,0.0,0.0,20060,7216,0.0,0.0,0,69658,263160,1405,0,26.31202655119332,8.479591776191091,0.0,86.4511705685619,0,0,0,0,0,0.0,0.0,0.0,0.0,0,212150,20060,1402,0,9.144382049450947,9.144382049450947,0.0,17.6952248234857,20060,17.83243477500222,0.0,0.0,0.0,255944,0,0,0,12978,3303.721183728948
ite2,EDGE_UTIL_HEURISTIC,2000,ALL_APPS_GENERIC,311263,304070,2953,269971,13.49923538021176,9.506248339060457,18.551669906558644,0.0,0.0,26911,7188,0.0,0.0,0,66995,277159,1396,0,27.39970580028481,8.848035893726163,0.0,87.04042642140465,0,0,0,0,0,0.0,0.0,0.0,0.0,0,244268,26911,1557,0,9.68677523073332,9.68677523073332,0.0,19.368921404682272,26911,18.551669906558644,0.0,0.0,0.0,269971,0,0,0,15755,3503.497585860014
ite2,MOBILE_UTIL_HEURISTIC,200,ALL_APPS_GENERIC,63404,196,263,0,6.948151275574069,6.306657473135047,3.3407205790426993,0.0,0.0,0,196,0.0,0.0,0,12175,196,29,0,5.773091974402267,2.432371395359563,0.0,2.590133779264212,0,0,0,0,0,0.0,0.0,0.0,0.0,0,51229,0,234,0,7.227413939138998,7.227413939138998,0.0,27.944013377926417,0,3.3407205790426993,0.0,0.0,0.0,0,0,0,0,135,278.4099528301887
ite2,MOBILE_UTIL_HEURISTIC,400,ALL_APPS_GENERIC,126119,1235,673,522,8.037234617267558,6.48521852396231,8.403688720228725,0.0,0.0,0,713,0.0,0.0,0,23292,1235,152,0,11.216350345480292,2.8126616252515735,0.0,5.938503344481605,0,0,0,0,0,0.0,0.0,0.0,0.0,0,102827,0,521,0,7.317112824921891,7.317112824921891,0.0,28.14646321070235,0,8.403688720228725,0.0,0.0,0.0,522,0,0,0,1099,469.32711183001715
ite2,MOBILE_UTIL_HEURISTIC,600,ALL_APPS_GENERIC,174207,6769,1286,4477,10.66412292368608,7.41398046676684,17.537480780316827,0.0,0.0,7,2285,0.0,0.0,0,32285,6769,453,0,21.803115595432615,4.265634815115743,0.0,14.15765050167224,7,0,0,0,0,0.0,0.0,0.0,0.0,0,141922,0,833,0,8.130179078423629,8.130179078423629,0.0,29.32395206243032,0,17.537480780316827,0.0,0.0,0.0,4477,0,0,0,2827,649.1635465476086
ite2,MOBILE_UTIL_HEURISTIC,800,ALL_APPS_GENERIC,228070,18434,1728,14814,11.229750678762885,7.364078504531241,28.515552518824514,0.0,0.0,340,3280,0.0,0.0,0,30918,18434,619,0,33.67999709653653,5.164444577712193,0.0,20.005351170568566,340,0,0,0,0,0.0,0.0,0.0,0.0,0,197152,0,1109,0,7.709032051791169,7.709032051791169,0.0,28.75552675585283,0,28.515552518824514,0.0,0.0,0.0,14814,0,0,0,4937,601.06997452374
ite2,MOBILE_UTIL_HEURISTIC,1000,ALL_APPS_GENERIC,270792,33635,2024,27894,11.565368100688506,7.888598860825853,32.81499278207306,0.0,0.0,1509,4232,0.0,0.0,0,30341,33635,751,0,40.2089912453014,7.393998463228338,0.0,34.66877090301001,1509,0,0,0,0,0.0,0.0,0.0,0.0,0,240451,0,1273,0,7.951009375498336,7.951009375498336,0.0,29.4671872909699,0,32.81499278207306,0.0,0.0,0.0,27894,0,0,0,7778,660.7422994675243
ite2,MOBILE_UTIL_HEURISTIC,1200,ALL_APPS_GENERIC,325927,43745,2532,31616,11.67296242363271,8.21894647509773,34.01489775375181,0.0,0.0,6422,5707,0.0,0.0,0,33096,43745,927,0,45.27051259392171,11.25561484016997,0.0,56.59264214046821,6422,0,0,0,0,0.0,0.0,0.0,0.0,0,292831,0,1605,0,7.875739723727699,7.875739723727699,0.0,29.348631549609827,0,34.01489775375181,0.0,0.0,0.0,31616,0,0,0,12289,719.0896470384557
ite2,MOBILE_UTIL_HEURISTIC,1400,ALL_APPS_GENERIC,373552,50438,2784,31782,11.046231109161756,8.10163565001491,31.50392447243967,0.0,0.0,12974,5682,0.0,0.0,0,34915,50438,985,0,44.34748176406569,12.843557291626244,0.0,66.18315217391303,12974,0,0,0,0,0.0,0.0,0.0,0.0,0,338637,0,1799,0,7.612722170044155,7.612722170044155,0.0,27.954517439082654,0,31.50392447243967,0.0,0.0,0.0,31782,0,0,0,16969,868.4223991131867
ite2,MOBILE_UTIL_HEURISTIC,1600,ALL_APPS_GENERIC,413523,71759,3250,42956,11.622889750702148,8.557096828461397,38.66349150911144,0.0,0.0,21874,6929,0.0,0.0,0,32790,71759,1152,0,53.27849531800325,14.615003808891714,0.0,75.81333612040133,21874,0,0,0,0,0.0,0.0,0.0,0.0,0,380733,0,2098,0,8.035369607841355,8.035369607841355,0.0,29.233672658862886,0,38.66349150911144,0.0,0.0,0.0,42956,0,0,0,21585,923.416928713614
ite2,MOBILE_UTIL_HEURISTIC,1800,ALL_APPS_GENERIC,468835,82910,3729,46058,10.891360728842331,8.416780325448768,34.12665911945584,0.0,0.0,30175,6677,0.0,0.0,0,33996,82910,1340,0,49.763554931998414,15.63689581254273,0.0,83.1177257525084,30175,0,0,0,0,0.0,0.0,0.0,0.0,0,434839,0,2389,0,7.852306931619621,7.852306931619621,0.0,28.910488665923463,0,34.12665911945584,0.0,0.0,0.0,46058,0,0,0,28037,844.9981712566494
ite2,MOBILE_UTIL_HEURISTIC,2000,ALL_APPS_GENERIC,514712,97671,3999,50580,10.978679107173914,8.53269849225063,37.92323556444296,0.0,0.0,39538,7553,0.0,0.0,0,33198,97671,1372,0,55.783400752677615,17.860165188234554,0.0,93.4010451505017,39538,0,0,0,0,0.0,0.0,0.0,0.0,0,481514,0,2627,0,7.889615966356735,7.889615966356735,0.0,29.02578260869565,0,37.92323556444296,0.0,0.0,0.0,50580,0,0,0,34839,863.9924034468625
ite2,RANDOM,200,ALL_APPS_GENERIC,60655,3575,282,0,6.48671821609767,5.396842443837962,2.080453657479528,0.0,0.0,3230,345,0.0,0.0,0,31775,345,105,0,3.4740763682178355,1.3936227107383028,0.0,3.5104515050167238,0,0,0,0,0,0.0,0.0,0.0,0.0,0,28880,3230,177,0,9.801354459739665,9.801354459739665,0.0,23.14314381270903,3230,2.080453657479528,0.0,0.0,0.0,0,0,0,0,130,71.82593803518606
ite2,RANDOM,400,ALL_APPS_GENERIC,116554,9288,572,3680,7.468972860775066,4.823308519362554,5.291147096707146,0.0,0.0,4729,879,0.0,0.0,0,58279,4559,237,0,6.659401647654172,1.3682545509470248,0.0,6.211454849498325,0,0,0,0,0,0.0,0.0,0.0,0.0,0,58275,4729,335,0,8.2785996429196,8.2785996429196,0.0,19.00438127090302,4729,5.291147096707146,0.0,0.0,0.0,3680,0,0,0,796,147.43965448737305
ite2,RANDOM,600,ALL_APPS_GENERIC,144244,34452,1084,23430,12.171561714148984,6.529163014179437,12.94650692879032,0.0,0.0,8458,2564,0.0,0.0,0,62865,26013,494,0,14.919695315957398,1.9731883871670945,0.0,12.984113712374574,19,0,0,0,0,0.0,0.0,0.0,0.0,0,81379,8439,590,0,10.04863787780681,10.04863787780681,0.0,21.81834448160535,8439,12.94650692879032,0.0,0.0,0.0,23430,0,0,0,1839,154.2553274835475
